Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
Lactococcus plantarum,15,0,0,0,0,0,0,0,12,0,0,36,1,0,1,0,5,0,2,17,3,0,0,0
Lactococcus raffinolactis,42,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,9,9,0,3,36,0,0,0
Lapidilactobacillus concavus,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Leuconostoc gelidum,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc mesenteroides,7,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Levilactobacillus acidifarinae,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Levilactobacillus parabrevis,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levilactobacillus paucivorans,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Liquorilactobacillus aquaticus,3,3,0,0,0,0,0,68,1,0,0,42,0,20,6,0,2,1,6,1,2,0,0,0
Liquorilactobacillus uvarum,7,0,0,0,0,0,3,31,7,0,0,17,1,19,1,0,2,1,0,1,1,1,0,0
Liquorilactobacillus vini,3,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Loigolactobacillus backii,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Mechercharimyces mesophilus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera micronuciformis,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,118,0,0,0,0
Metabacillus niabensis,12,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,3,0,1,1,3
Methylobacterium aquaticum,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium bullatum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium indicum,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0
Methylobacterium marchantiae,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium platani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus arenosus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus iheyensis,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,4,2
Oceanobacillus picturae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paracoccus chinensis,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pediococcus claussenii,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Peribacillus asahii,1,0,0,0,0,0,0,13,0,0,0,11,0,4,0,0,1,0,4,3,2,21,12,15
Pisciglobus halotolerans,2,0,0,0,0,0,0,125,1,0,0,0,0,39,0,0,0,0,3,1,1,6,4,6
Prevotella corporis,4,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella dentasini,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Prevotella denticola,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Prevotella fusca,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella intermedia,1,0,0,4,0,6932,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0
Prevotella jejuni,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica,3,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella multiformis,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella nigrescens,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella scopos,43,0,0,44,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pseudogracilibacillus marinus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
Salinibacillus xinjiangensis,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,4
Salirhabdus euzebyi,3,0,1,0,1,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,13,12,14
Secundilactobacillus paracollinoides,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Segatella buccae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Segatella oris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Shigella flexneri,12,94,346,0,1,148,23,0,0,0,3718,0,0,0,25,1728,0,9,1584,509,108,0,4,5
Shigella sonnei,1,727,1602,0,2,854,137,0,1,0,14713,0,0,0,61,3023,0,4,6516,235,44,0,9,1
Sphingomonas roseiflava,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Staphylococcus aureus,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,2,34,0,3,9,222601,184555,176318
Streptococcus acidominimus,2,1,0,0,1,0,0,0,0,0,0,5,0,0,8,0,8,1,0,4,3,0,0,0
Streptococcus agalactiae,1,0,0,0,0,1,1,0,0,0,0,6,6264,0,3,0,2,10,0,3,311482,0,0,0
Streptococcus alactolyticus,18,0,0,0,6,0,1,0,4,0,0,29,1,0,11,0,16,2,0,23,33,0,0,0
Streptococcus anginosus,310726,128,0,0,11,32,2145,0,68,0,0,15,65,0,2399,3,350,24749,9,18133,290,0,0,0
Streptococcus australis,30,0,0,0,1,0,1,0,224,0,0,129,9,0,11,0,12,19,1129,454,21,0,0,0
Streptococcus azizii,1,1,0,0,2,1,2,0,100,0,0,70,5,0,3,1,0,0,4,52,8,0,0,0
Streptococcus caballi,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0
Streptococcus cameli,71,3,0,0,1,4,6,1,6,0,0,75,4,1,22,0,26,10,0,46,11,0,0,0
